"Group","File","Start","End","Active","DurFilenameS","DurFfprobeS","ProbeStatus","SizeMB","LastWrite","Suspect","Problem"
"108_visual","108_visual_2026-06-25_17-27-14_to_18-00-21.mp4","2026-06-25 17:27:14","2026-06-25 18:00:21","False","1987","",,"129.8","2026-06-25 18:00:21",,
"108_visual","108_visual_2026-06-25_18-00-21_to_19-00-15.mp4","2026-06-25 18:00:21","2026-06-25 19:00:15","False","3594","",,"239.6","2026-06-25 19:00:15",,
"108_visual","108_visual_2026-06-25_19-00-15_to_20-00-09.mp4","2026-06-25 19:00:15","2026-06-25 20:00:09","False","3594","",,"216.8","2026-06-25 20:00:09",,
"108_visual","108_visual_2026-06-25_20-00-09_to_21-00-03.mp4","2026-06-25 20:00:09","2026-06-25 21:00:03","False","3594","",,"222.2","2026-06-25 21:00:03",,
"108_visual","108_visual_2026-06-25_21-00-03_to_22-00-57.mp4","2026-06-25 21:00:03","2026-06-25 22:00:57","False","3654","",,"207.1","2026-06-25 22:00:57",,
"108_visual","108_visual_2026-06-25_22-00-57_to_23-00-51.mp4","2026-06-25 22:00:57","2026-06-25 23:00:51","False","3594","",,"206.4","2026-06-25 23:00:51",,
"108_visual","108_visual_2026-06-25_23-00-51_to_00-00-45.mp4","2026-06-25 23:00:51","2026-06-26 00:00:45","False","3594","",,"205.3","2026-06-26 00:00:45",,
"108_visual","108_visual_2026-06-26_00-00-45_to_01-00-39.mp4","2026-06-26 00:00:45","2026-06-26 01:00:39","False","3594","",,"204.6","2026-06-26 01:00:39",,
"108_visual","108_visual_2026-06-26_01-00-39_to_02-00-33.mp4","2026-06-26 01:00:39","2026-06-26 02:00:33","False","3594","",,"204.8","2026-06-26 02:00:33",,
"108_visual","108_visual_2026-06-26_02-00-33_to_03-00-26.mp4","2026-06-26 02:00:33","2026-06-26 03:00:26","False","3593","",,"207.6","2026-06-26 03:00:26",,
"108_visual","108_visual_2026-06-26_03-00-26_to_04-00-20.mp4","2026-06-26 03:00:26","2026-06-26 04:00:20","False","3594","",,"208.9","2026-06-26 04:00:20",,
"108_visual","108_visual_2026-06-26_04-00-20_to_05-00-14.mp4","2026-06-26 04:00:20","2026-06-26 05:00:14","False","3594","",,"209.7","2026-06-26 05:00:14",,
"109_thermal","109_thermal_2026-06-25_04-00-01_to_05-00-01.mp4","2026-06-25 04:00:01","2026-06-25 05:00:01","False","3600","",,"249.8","2026-06-25 05:00:01",,
"109_thermal","109_thermal_2026-06-25_05-00-01_to_06-00-01.mp4","2026-06-25 05:00:01","2026-06-25 06:00:01","False","3600","",,"247.3","2026-06-25 06:00:01",,
"109_thermal","109_thermal_2026-06-25_06-00-01_to_07-00-01.mp4","2026-06-25 06:00:01","2026-06-25 07:00:01","False","3600","",,"246.3","2026-06-25 07:00:01",,
"109_thermal","109_thermal_2026-06-25_07-00-01_to_08-00-01.mp4","2026-06-25 07:00:01","2026-06-25 08:00:01","False","3600","",,"245.4","2026-06-25 08:00:01",,
"109_thermal","109_thermal_2026-06-25_08-00-01_to_09-00-00.mp4","2026-06-25 08:00:01","2026-06-25 09:00:00","False","3599","",,"245.1","2026-06-25 09:00:00",,
"109_thermal","109_thermal_2026-06-25_09-00-00_to_10-00-01.mp4","2026-06-25 09:00:00","2026-06-25 10:00:01","False","3601","",,"246.2","2026-06-25 10:00:01",,
"109_thermal","109_thermal_2026-06-25_10-00-01_to_11-00-01.mp4","2026-06-25 10:00:01","2026-06-25 11:00:01","False","3600","",,"241.9","2026-06-25 11:00:01",,
"109_thermal","109_thermal_2026-06-25_11-00-01_to_12-00-01.mp4","2026-06-25 11:00:01","2026-06-25 12:00:01","False","3600","",,"241.8","2026-06-25 12:00:01",,
"109_thermal","109_thermal_2026-06-25_12-00-01_to_13-00-01.mp4","2026-06-25 12:00:01","2026-06-25 13:00:01","False","3600","",,"244.2","2026-06-25 13:00:01",,
"109_thermal","109_thermal_2026-06-25_13-00-01.mp4","2026-06-25 13:00:01","","True","","",,"3.8","2026-06-25 13:00:57",,
"109_thermal","109_thermal_2026-06-25_13-01-13.mp4","2026-06-25 13:01:13","","True","","",,"30.8","2026-06-25 13:08:43",,
"109_thermal","109_thermal_2026-06-25_13-09-01.mp4","2026-06-25 13:09:01","","True","","",,"26.5","2026-06-25 13:15:29",,
"109_thermal","109_thermal_2026-06-25_13-15-44_to_14-00-01.mp4","2026-06-25 13:15:44","2026-06-25 14:00:01","False","2657","",,"181.8","2026-06-25 14:00:01",,
"109_thermal","109_thermal_2026-06-25_14-00-01_to_15-00-01.mp4","2026-06-25 14:00:01","2026-06-25 15:00:01","False","3600","",,"245.5","2026-06-25 15:00:01",,
"109_thermal","109_thermal_2026-06-25_15-00-01_to_16-00-01.mp4","2026-06-25 15:00:01","2026-06-25 16:00:01","False","3600","",,"248.7","2026-06-25 16:00:01",,
"109_thermal","109_thermal_2026-06-25_16-00-01_to_16-04-50.mp4","2026-06-25 16:00:01","2026-06-25 16:04:50","False","289","",,"14.4","2026-06-25 16:04:31",,
"109_thermal","109_thermal_2026-06-25_16-04-50.mp4","2026-06-25 16:04:50","","True","","",,"180.5","2026-06-25 16:48:38",,
