cam,clock,file,station,window_start,window_end,edge,n_corners,spread,bw_IR,settled_run,method
CH04,12:30:05.4,123005.npz,T63,12:30:05,12:30:17,0,32,1,0,CH04-w5-r1,charuco
CH04,12:30:07.4,123007.npz,T63,12:30:05,12:30:17,0,32,1,0,CH04-w5-r1,charuco
CH04,12:30:09.5,123009.npz,T63,12:30:05,12:30:17,0,32,1,0,CH04-w5-r1,charuco
CH04,12:30:11.4,123011.npz,T63,12:30:05,12:30:17,0,32,1,0,CH04-w5-r1,charuco
CH04,12:30:13.5,123013.npz,T63,12:30:05,12:30:17,0,32,1,0,CH04-w5-r1,charuco
CH04,12:30:15.4,123015.npz,T63,12:30:05,12:30:17,0,32,1,0,CH04-w5-r1,charuco
CH04,12:30:17.4,123017.npz,T63,12:30:05,12:30:17,1,22,1,0,CH04-w5-r1,charuco
CH04,12:30:19.4,123019.npz,,,,0,21,1,0,,charuco
CH04,12:30:21.4,123021.npz,,,,0,33,1,0,,charuco
CH04,12:30:23.4,123023.npz,,,,0,25,1,0,,charuco
CH04,12:30:25.5,123025.npz,T64,12:30:27,12:30:39,1,35,1,0,CH04-w6-r1,charuco
CH04,12:30:27.4,123027.npz,T64,12:30:27,12:30:39,0,34,1,0,CH04-w6-r1,charuco
CH04,12:30:29.5,123029.npz,T64,12:30:27,12:30:39,0,33,1,0,CH04-w6-r1,charuco
CH04,12:30:31.5,123031.npz,T64,12:30:27,12:30:39,0,31,1,0,CH04-w6-r1,charuco
CH04,12:30:33.6,123033.npz,T64,12:30:27,12:30:39,0,28,1,0,CH04-w6-r1,charuco
CH04,12:30:35.5,123035.npz,T64,12:30:27,12:30:39,0,28,1,0,CH04-w6-r1,charuco
CH04,12:30:37.5,123037.npz,T64,12:30:27,12:30:39,0,25,1,0,CH04-w6-r1,charuco
CH04,12:30:39.5,123039.npz,T64,12:30:27,12:30:39,1,34,1,0,CH04-w6-r1,charuco
CH04,12:32:39.6,123239.npz,T65,12:30:45,12:34:55,0,14,1,0,,charuco
CH04,12:32:41.6,123241.npz,T65,12:30:45,12:34:55,0,12,1,0,,charuco
CH04,12:32:43.6,123243.npz,T65,12:30:45,12:34:55,0,15,1,0,,charuco
CH04,12:32:45.6,123245.npz,T65,12:30:45,12:34:55,0,13,1,0,,charuco
CH04,12:32:47.6,123247.npz,T65,12:30:45,12:34:55,0,14,1,0,,charuco
CH04,12:32:49.6,123249.npz,T65,12:30:45,12:34:55,0,17,1,0,,charuco
