cam,clock,file,station,window_start,window_end,edge,n_corners,spread,bw_IR,settled_run
CH01,15:21:57.0,152157.npz,T45,15:21:54,15:22:20,0,24,1,0,CH01-w33-r1
CH01,15:21:58.9,152158.npz,T45,15:21:54,15:22:20,0,24,1,0,CH01-w33-r1
CH01,15:22:00.9,152200.npz,T45,15:21:54,15:22:20,0,19,1,0,CH01-w33-r2
CH01,15:22:02.9,152202.npz,T45,15:21:54,15:22:20,0,25,1,0,CH01-w33-r2
CH01,15:22:06.9,152206.npz,T45,15:21:54,15:22:20,0,20,1,0,CH01-w33-r2
CH01,15:22:08.9,152208.npz,T45,15:21:54,15:22:20,0,27,1,0,CH01-w33-r2
CH01,15:22:10.9,152210.npz,T45,15:21:54,15:22:20,0,18,1,0,CH01-w33-r2
CH01,15:22:12.9,152212.npz,T45,15:21:54,15:22:20,0,17,1,0,
CH01,15:22:14.9,152214.npz,T45,15:21:54,15:22:20,0,12,1,0,
CH01,15:22:20.9,152220.npz,T45,15:21:54,15:22:20,1,17,1,0,
CH01,15:22:22.9,152222.npz,,,,0,15,1,0,
CH01,15:22:24.9,152224.npz,,,,0,87,1,0,
CH01,15:23:02.5,152302.npz,,,,0,16,1,0,
CH01,15:23:08.5,152308.npz,V42,15:23:08,15:23:16,0,65,1,0,CH01-w36-r1
CH01,15:23:10.6,152310.npz,V42,15:23:08,15:23:16,0,65,1,0,CH01-w36-r1
CH01,15:23:12.6,152312.npz,V42,15:23:08,15:23:16,0,65,1,0,CH01-w36-r1
CH01,15:23:14.6,152314.npz,V42,15:23:08,15:23:16,0,65,1,0,CH01-w36-r1
CH01,15:23:16.6,152316.npz,V42,15:23:08,15:23:16,1,65,1,0,CH01-w36-r1
CH01,15:23:18.6,152318.npz,,,,0,49,1,0,
CH01,15:23:20.5,152320.npz,,,,0,55,1,0,
CH01,15:23:22.5,152322.npz,F43,15:23:24,15:23:50,1,70,1,0,
CH01,15:23:24.6,152324.npz,F43,15:23:24,15:23:50,0,85,1,0,CH01-w37-r1
CH01,15:23:26.5,152326.npz,F43,15:23:24,15:23:50,0,81,1,0,CH01-w37-r1
CH01,15:23:28.6,152328.npz,F43,15:23:24,15:23:50,0,81,1,0,CH01-w37-r1
CH01,15:23:30.5,152330.npz,F43,15:23:24,15:23:50,0,81,1,0,CH01-w37-r1
CH01,15:23:32.5,152332.npz,F43,15:23:24,15:23:50,0,84,1,0,CH01-w37-r1
CH01,15:23:34.5,152334.npz,F43,15:23:24,15:23:50,0,74,1,0,CH01-w37-r1
CH01,15:23:36.6,152336.npz,F43,15:23:24,15:23:50,0,86,1,0,CH01-w37-r1
CH01,15:23:38.5,152338.npz,F43,15:23:24,15:23:50,0,84,1,0,CH01-w37-r1
CH01,15:23:40.6,152340.npz,F43,15:23:24,15:23:50,0,82,1,0,CH01-w37-r1
CH01,15:23:44.5,152344.npz,F43,15:23:24,15:23:50,0,79,1,0,CH01-w37-r1
