CH03 F41 15:22:34-15:22:58 had 0, tried 6 frames, saved 0 (best 0 corners) {} prior=full frame 19s
CH03 F43 15:23:24-15:23:50 had 0, tried 7 frames, saved 0 (best 0 corners) {} prior=full frame 23s
CH03 F52 15:27:24-15:27:44 had 0, tried 5 frames, saved 0 (best 0 corners) {} prior=full frame 16s
CH03 F54 15:28:14-15:28:24 had 0, tried 3 frames, saved 0 (best 0 corners) {} prior=full frame 10s
CH03 F61 15:28:34-15:28:50 had 0, tried 4 frames, saved 0 (best 0 corners) {} prior=full frame 13s
CH03 F63 15:29:22-15:29:30 had 0, tried 2 frames, saved 0 (best 0 corners) {} prior=full frame 7s
CH03 T21 15:06:42-15:07:08 had 0, tried 7 frames, saved 0 (best 0 corners) {} prior=full frame 24s
CH03 T22 15:07:14-15:08:53 had 0, tried 25 frames, saved 0 (best 0 corners) {} prior=full frame 84s
CH03 T24 15:09:25-15:09:47 had 0, tried 6 frames, saved 0 (best 0 corners) {} prior=full frame 20s
CH03 T25 15:09:57-15:10:33 had 0, tried 9 frames, saved 0 (best 0 corners) {} prior=full frame 30s
CH03 T31 15:13:54-15:14:31 had 0, tried 10 frames, saved 0 (best 0 corners) {} prior=full frame 35s
CH03 T32 15:14:37-15:15:03 had 0, tried 7 frames, saved 0 (best 0 corners) {} prior=full frame 25s
CH03 T33 15:15:11-15:15:45 had 0, tried 9 frames, saved 0 (best 0 corners) {} prior=full frame 31s
CH03 T34 15:15:57-15:16:26 had 0, tried 8 frames, saved 0 (best 0 corners) {} prior=full frame 28s
CH03 T35 15:16:32-15:17:01 had 0, tried 8 frames, saved 0 (best 0 corners) {} prior=full frame 29s
CH03 T41 15:19:22-15:19:26 had 0, tried 2 frames, saved 0 (best 0 corners) {} prior=full frame 8s
CH03 T41 15:19:38-15:20:26 had 0, tried 12 frames, saved 0 (best 0 corners) {} prior=full frame 40s
CH03 T41 15:22:36-15:22:56 had 0, tried 5 frames, saved 0 (best 0 corners) {} prior=full frame 16s
CH03 T42 15:20:32-15:20:48 had 0, tried 4 frames, saved 0 (best 0 corners) {} prior=full frame 14s
CH03 T43 15:20:58-15:21:12 had 0, tried 4 frames, saved 0 (best 0 corners) {} prior=full frame 14s
CH03 T44 15:21:35-15:21:44 had 0, tried 2 frames, saved 0 (best 0 corners) {} prior=full frame 7s
CH03 T45 15:21:54-15:22:20 had 0, tried 7 frames, saved 0 (best 0 corners) {} prior=full frame 23s
CH03 T51 15:24:31-15:25:03 had 0, tried 8 frames, saved 0 (best 0 corners) {} prior=full frame 26s
CH03 T52 15:25:09-15:25:25 had 0, tried 4 frames, saved 0 (best 0 corners) {} prior=full frame 14s
CH03 T53 15:25:37-15:25:47 had 0, tried 3 frames, saved 0 (best 0 corners) {} prior=full frame 11s
CH03 T54 15:25:59-15:26:13 had 0, tried 4 frames, saved 0 (best 0 corners) {} prior=full frame 14s
CH03 T55 15:26:21-15:26:46 had 0, tried 6 frames, saved 0 (best 0 corners) {} prior=full frame 20s
CH03 T71 15:30:34-15:30:42 had 0, tried 2 frames, saved 0 (best 0 corners) {} prior=full frame 7s
CH03 T72 15:30:52-15:31:00 had 0, tried 2 frames, saved 0 (best 0 corners) {} prior=full frame 7s
CH03 T73 15:31:12-15:31:26 had 0, tried 4 frames, saved 0 (best 0 corners) {} prior=full frame 13s
CH03 T74 15:31:32-15:31:46 had 0, tried 4 frames, saved 0 (best 0 corners) {} prior=full frame 13s
CH03 T75 15:31:52-15:32:08 had 0, tried 4 frames, saved 0 (best 0 corners) {} prior=full frame 13s
CH03 V11 15:04:07-15:04:31 had 0, tried 6 frames, saved 0 (best 0 corners) {} prior=full frame 19s
CH03 V22 15:12:01-15:12:37 had 0, tried 9 frames, saved 0 (best 0 corners) {} prior=full frame 31s
CH03 V24 15:13:17-15:13:46 had 0, tried 8 frames, saved 0 (best 0 corners) {} prior=full frame 28s
CH03 V31 15:17:13-15:17:35 had 0, tried 6 frames, saved 0 (best 0 corners) {} prior=full frame 21s
CH03 V33 15:18:12-15:18:30 had 0, tried 5 frames, saved 0 (best 0 corners) {} prior=full frame 18s
CH03 V42 15:23:08-15:23:16 had 0, tried 2 frames, saved 0 (best 0 corners) {} prior=full frame 8s
CH03 V44 15:24:01-15:24:19 had 0, tried 5 frames, saved 0 (best 0 corners) {} prior=full frame 17s
CH03 V51 15:27:02-15:27:16 had 0, tried 4 frames, saved 0 (best 0 corners) {} prior=full frame 13s
CH03 V53 15:27:50-15:28:02 had 0, tried 3 frames, saved 0 (best 0 corners) {} prior=full frame 10s
CH03 V62 15:28:56-15:29:16 had 0, tried 5 frames, saved 0 (best 0 corners) {} prior=full frame 16s
CH03 V64 15:29:38-15:30:18 had 0, tried 10 frames, saved 0 (best 0 corners) {} prior=full frame 32s
CH04 F12 15:04:38-15:05:17 had 0, tried 10 frames, saved 0 (best 0 corners) {} prior=full frame 33s
CH04 F12 15:04:38-15:05:17 had 0, tried 10 frames, saved 0 (best 0 corners) {} prior=full frame 34s
CH04 F14 15:06:08-15:06:34 had 0, tried 7 frames, saved 0 (best 0 corners) {} prior=full frame 26s
CH04 F21 15:10:43-15:11:57 had 0, tried 19 frames, saved 0 (best 0 corners) {} prior=full frame 63s
CH04 F21 15:10:43-15:11:57 had 0, tried 19 frames, saved 0 (best 0 corners) {} prior=full frame 67s
